,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
135,Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,0-0,-15,-3,21,21,36,24,14,12,12,12,12,10,11,0,0
136,Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,0-0,34,12,46,28,12,16,31,10,7,12,12,8,6,0,0
137,Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,0-0,9,-24,27,16,18,40,13,6,6,22,12,1,5,0,0
138,Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,0-0,-48,-3,13,21,61,24,7,12,28,12,13,4,11,0,0
139,Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,0-0,9,16,27,38,18,22,13,14,6,13,13,1,3,0,0
140,Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,0-0,34,16,46,28,12,12,31,13,7,8,13,8,9,0,0
141,Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,0-0,-26,7,18,23,44,16,8,9,21,8,13,0,7,0,0
142,Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,0-0,22,-15,39,21,17,36,19,7,7,24,13,2,10,0,0
143,Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,0-0,12,-24,28,16,16,40,18,6,4,22,13,6,5,0,0
144,Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,0-0,7,-48,23,13,16,61,14,6,8,33,14,7,4,0,0
145,Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-0,16,34,38,46,22,12,24,15,9,5,14,3,8,0,0
146,Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-0,-24,22,16,39,40,17,10,20,18,10,14,5,2,0,0
147,Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,0-0,-3,12,21,28,24,16,9,10,12,12,14,11,6,0,0
148,Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,0-0,-15,9,21,27,36,18,14,14,12,12,14,10,1,0,0
149,Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,0-0,16,-26,28,18,12,44,15,10,4,23,14,9,0,0,0
