Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,0-0,-51,-4,13,22,64,26,7,13,28,14
Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,0-0,10,14,28,38,18,24,14,14,6,15
Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,0-0,-23,6,21,24,44,18,11,9,21,8
Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,0-0,23,-14,41,23,18,37,19,7,7,24
Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,0-0,34,18,49,30,15,12,34,13,10,8
Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,0-0,12,-25,31,16,19,41,18,6,4,23
Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,0-0,18,-23,30,21,12,44,17,10,4,23
Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,0-0,-14,10,23,28,37,18,16,14,13,12
Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,0-0,-4,12,22,31,26,19,9,13,12,15
Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-0,-25,23,16,41,41,18,10,22,18,11
Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,0-0,6,-51,24,13,18,64,15,6,10,36
Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-0,14,34,38,49,24,15,24,15,9,5
